tag,pattern,response
greeting,Halo,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Hai,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Selamat pagi,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Selamat siang,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Selamat malam,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Hei DiaBites,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Hai bot,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Permisi,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Apa kabar,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Halo asisten,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Halo saya mau tanya,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Hei boleh tanya,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Mulai,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Assalamualaikum,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Ada yang bisa bantu,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Halo bisa bantu saya,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Halo DiaBites boleh tanya,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Hai mau tanya sesuatu,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
greeting,Apa ada yang bisa dibantu,Halo! Saya DiaBites Assistant. Ada yang ingin Anda tanyakan seputar nutrisi atau diabetes?
